name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
Light It Up,Luke Bryan,spotify:track:6znSbsDDFdBZaiucjUGaWy,0.129,0.596,0.935,0.0,0.108,-2.794,0.0855,130.029,0.678,The Longest Playlist on Spotify® (Official)
Unforgettable,Thomas Rhett,spotify:track:30MM5jWpUmOxtTNd9Ey5LZ,0.0303,0.661,0.75,0.000132,0.0849,-5.497,0.0314,130.077,0.828,The Longest Playlist on Spotify® (Official)
I'll Name the Dogs,Blake Shelton,spotify:track:2n5ZD87XQ2yvIxGjoYbUmZ,0.163,0.47,0.852,2.04e-06,0.281,-5.874,0.0933,168.063,0.773,The Longest Playlist on Spotify® (Official)
Greatest Love Story,LANCO,spotify:track:0kdiUZDcLIFw0Buo9r0Q4z,0.38,0.665,0.621,0.0,0.119,-8.571,0.0524,147.975,0.632,The Longest Playlist on Spotify® (Official)
You Broke Up with Me,Walker Hayes,spotify:track:6UsoV6X96Rox9mfxoz7SFy,0.496,0.846,0.711,0.0,0.247,-7.939,0.061,120.013,0.883,The Longest Playlist on Spotify® (Official)
Kiss Somebody,Morgan Evans,spotify:track:1mJMD1VIQ7jWTP9DK2zmY0,0.143,0.492,0.681,0.0,0.199,-7.038,0.075,178.01,0.511,The Longest Playlist on Spotify® (Official)
Like I Loved You,Brett Young,spotify:track:3T6MAweakkNrMYs8jZIWtg,0.196,0.582,0.568,0.0,0.0841,-6.051,0.0297,76.025,0.64,The Longest Playlist on Spotify® (Official)
The Long Way,Brett Eldredge,spotify:track:1KTLLe980WR4RLKg74Ud6e,0.265,0.488,0.637,0.0,0.106,-7.63,0.0401,88.872,0.23,The Longest Playlist on Spotify® (Official)
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.047,0.643,0.783,0.0,0.083,-6.458,0.0856,154.084,0.579,The Longest Playlist on Spotify® (Official)
Getting Over You,Jackie Lee,spotify:track:4oeGQb7zAVNRkpjjoNHK5K,0.0527,0.442,0.784,0.0,0.0597,-4.001,0.0344,170.139,0.552,The Longest Playlist on Spotify® (Official)
Marry Me,Thomas Rhett,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,0.0977,0.333,0.412,0.0,0.113,-8.633,0.029,85.028,0.474,The Longest Playlist on Spotify® (Official)
